x,rho_0.1,rho_0.05,rho_0.01,rho_0.005,rho_0.001,rho_0.0005,rho_0.0001
0.3799999999999999,-0.5888766949640115,-0.6033319021210298,-0.6089779794174603,-0.6092815590438594,-0.6094571535049091,-0.6094748613869294,-0.6094883459731827
0.3999999999999999,-0.5884802819358484,-0.6031358329982086,-0.6089388747511055,-0.6092620054949318,-0.6094532423293022,-0.6094729057614436,-0.6094879548417803
0.41999999999999993,-0.588063478977517,-0.6029296910803827,-0.6088977632412335,-0.6092414485989693,-0.6094491304825082,-0.6094708497998194,-0.609487543643049
0.43999999999999995,-0.5876262775669998,-0.6027134739702711,-0.6088546447232321,-0.6092198882940639,-0.6094448179554361,-0.6094686934977177,-0.6094871123761542
0.45999999999999996,-0.587168668835984,-0.6024871791842261,-0.608809519029922,-0.609197324517978,-0.6094403047390834,-0.6094664368508536,-0.6094866610402734
0.48,-0.5866906435723943,-0.6022508041529794,-0.6087623859916144,-0.6091737572081667,-0.6094355908245381,-0.6094640798549968,-0.6094861896345967
0.5,-0.5861921922230234,-0.6020043462224108,-0.6087132454361699,-0.6091491863018019,-0.6094306762029844,-0.6094616225059748,-0.6094856981583273
0.52,-0.5856733048962534,-0.6017478026543411,-0.6086620971890586,-0.6091236117357947,-0.6094255608657045,-0.6094590647996734,-0.6094851866106816
0.54,-0.5851339713648723,-0.6014811706273477,-0.6086089410734199,-0.6090970334468193,-0.6094202448040832,-0.609456406732039,-0.6094846549908898
0.56,-0.5845741810689815,-0.6012044472376029,-0.6085537769101225,-0.6090694513713354,-0.6094147280096108,-0.6094536482990804,-0.6094841032981957
0.5800000000000001,-0.5839939231189937,-0.6009176294997346,-0.6084966045178267,-0.6090408654456122,-0.6094090104738874,-0.6094507894968706,-0.6094835315318572
0.6000000000000001,-0.58339318629872,-0.6006207143477095,-0.6084374237130455,-0.6090112756057515,-0.6094030921886252,-0.6094478303215475,-0.6094829396911474
0.6200000000000001,-0.582771959068546,-0.6003136986357372,-0.6083762343102069,-0.6089806817877104,-0.6093969731456529,-0.6094447707693164,-0.6094823277753542
0.6400000000000001,-0.5821302295686942,-0.5999965791391969,-0.6083130361217167,-0.6089490839273252,-0.6093906533369178,-0.6094416108364511,-0.60948169578378
0.6600000000000001,-0.5814679856225724,-0.5996693525555824,-0.6082478289580213,-0.6089164819603344,-0.6093841327544907,-0.609438350519296,-0.6094810437157431
0.6800000000000002,-0.5807852147402055,-0.5993320155054711,-0.6081806126276716,-0.6088828758224015,-0.6093774113905676,-0.6094349898142665,-0.6094803715705778
0.7000000000000002,-0.580081904121751,-0.5989845645335101,-0.6081113869373868,-0.6088482654491387,-0.6093704892374738,-0.6094315287178522,-0.6094796793476343
0.7200000000000002,-0.5793580406610951,-0.5986269961094232,-0.608040151692118,-0.6088126507761293,-0.6093633662876671,-0.6094279672266171,-0.6094789670462789
0.7400000000000002,-0.5786136109495303,-0.5982593066290371,-0.6079669066951141,-0.6087760317389516,-0.6093560425337399,-0.6094243053372009,-0.6094782346658945
0.7600000000000002,-0.5778486012795094,-0.5978814924153267,-0.6078916517479854,-0.6087384082732004,-0.6093485179684233,-0.609420543046322,-0.6094774822058813
0.7800000000000002,-0.5770629976484778,-0.5974935497194778,-0.6078143866507697,-0.6086997803145114,-0.60934079258459,-0.6094166803507768,-0.6094767096656564
0.8000000000000003,-0.5762567857627815,-0.597095474721968,-0.607735111201997,-0.6086601477985828,-0.6093328663752564,-0.6094127172474424,-0.6094759170446541
